[2026-03-16 14:09:27] GAME CREATED
[2026-03-16 14:09:32] PLAYER JOINED: rs as red
[2026-03-16 14:09:36] PLAYER JOINED: ly as blue
[2026-03-16 14:09:39] PLAYER START: ly (blue)
[2026-03-16 14:09:41] PLAYER START: rs (red)
[2026-03-16 14:09:41] GAME START: turn order ['red', 'blue']
[2026-03-16 14:10:46] MOVE #246: ly (blue) 19->18 [0.52ms]
[2026-03-16 14:10:46] MOVE #247: rs (red) 104->103 [0.06ms]
[2026-03-16 14:10:47] MOVE #248: ly (blue) 42->53 [0.06ms]
[2026-03-16 14:10:47] MOVE #249: rs (red) 60->61 [0.08ms]
[2026-03-16 14:10:47] MOVE #250: ly (blue) 51->69 [0.05ms]
[2026-03-16 14:10:47] MOVE #251: rs (red) 70->68 [0.08ms]
[2026-03-16 14:10:48] MOVE #252: ly (blue) 1->2 [0.06ms]
[2026-03-16 14:10:48] MOVE #253: rs (red) 48->47 [0.06ms]
[2026-03-16 14:10:48] MOVE #254: ly (blue) 26->25 [0.08ms]
[2026-03-16 14:10:48] MOVE #255: rs (red) 68->66 [0.07ms]
[2026-03-16 14:10:49] MOVE #256: ly (blue) 25->12 [0.09ms]
[2026-03-16 14:10:49] MOVE #257: rs (red) 47->48 [0.06ms]
[2026-03-16 14:10:49] MOVE #258: ly (blue) 27->39 [0.05ms]
[2026-03-16 14:10:49] MOVE #259: rs (red) 113->116 [0.05ms]
[2026-03-16 14:10:50] MOVE #260: ly (blue) 36->37 [0.07ms]
[2026-03-16 14:10:50] MOVE #261: rs (red) 96->97 [0.13ms]
[2026-03-16 14:10:50] MOVE #262: ly (blue) 18->17 [0.05ms]
[2026-03-16 14:10:50] MOVE #263: rs (red) 77->58 [0.06ms]
[2026-03-16 14:10:51] MOVE #264: ly (blue) 12->25 [0.05ms]
[2026-03-16 14:10:51] MOVE #265: rs (red) 116->112 [0.05ms]
[2026-03-16 14:10:51] MOVE #266: ly (blue) 50->54 [0.09ms]
[2026-03-16 14:10:51] MOVE #267: rs (red) 59->13 [0.06ms]
[2026-03-16 14:10:52] MOVE #268: ly (blue) 69->70 [0.06ms]
[2026-03-16 14:10:52] MOVE #269: rs (red) 58->57 [0.07ms]
[2026-03-16 14:10:52] MOVE #270: ly (blue) 17->18 [0.12ms]
[2026-03-16 14:10:53] MOVE #271: rs (red) 67->49 [0.07ms]
[2026-03-16 14:10:53] MOVE #272: ly (blue) 25->26 [0.12ms]
[2026-03-16 14:10:53] MOVE #273: rs (red) 112->104 [0.13ms]
[2026-03-16 14:10:53] MOVE #274: ly (blue) 53->42 [0.03ms]
[2026-03-16 14:10:54] MOVE #275: rs (red) 103->102 [0.12ms]
[2026-03-16 14:10:54] MOVE #276: ly (blue) 37->58 [0.05ms]
[2026-03-16 14:10:54] MOVE #277: rs (red) 13->14 [0.04ms]
[2026-03-16 14:10:54] MOVE #278: ly (blue) 78->77 [0.05ms]
[2026-03-16 14:10:55] MOVE #279: rs (red) 57->13 [0.06ms]
[2026-03-16 14:10:55] MOVE #280: ly (blue) 18->30 [0.05ms]
[2026-03-16 14:10:55] MOVE #281: rs (red) 97->110 [0.06ms]
[2026-03-16 14:10:55] MOVE #282: ly (blue) 2->1 [0.05ms]
[2026-03-16 14:10:56] MOVE #283: rs (red) 48->37 [0.05ms]
[2026-03-16 14:10:56] MOVE #284: ly (blue) 70->80 [0.04ms]
[2026-03-16 14:10:56] MOVE #285: rs (red) 37->38 [0.04ms]
[2026-03-16 14:10:57] MOVE #286: ly (blue) 42->41 [0.12ms]
[2026-03-16 14:10:57] MOVE #287: rs (red) 66->76 [0.08ms]
[2026-03-16 14:10:57] MOVE #288: ly (blue) 30->42 [0.08ms]
[2026-03-16 14:10:57] MOVE #289: rs (red) 102->111 [0.05ms]
[2026-03-16 14:10:58] MOVE #290: ly (blue) 54->53 [0.10ms]
[2026-03-16 14:10:58] MOVE #291: rs (red) 111->112 [0.08ms]
[2026-03-16 14:10:58] MOVE #292: ly (blue) 58->68 [0.05ms]
[2026-03-16 14:10:58] MOVE #293: rs (red) 13->25 [0.04ms]
[2026-03-16 14:10:59] MOVE #294: ly (blue) 68->79 [0.05ms]
[2026-03-16 14:10:59] MOVE #295: rs (red) 104->103 [0.06ms]
[2026-03-16 14:10:59] MOVE #296: ly (blue) 42->31 [0.05ms]
[2026-03-16 14:10:59] MOVE #297: rs (red) 25->36 [0.04ms]
[2026-03-16 14:11:00] MOVE #298: ly (blue) 79->91 [0.04ms]
[2026-03-16 14:11:00] MOVE #299: rs (red) 112->90 [0.07ms]
[2026-03-16 14:11:00] MOVE #300: ly (blue) 53->52 [0.25ms]
[2026-03-16 14:11:00] MOVE #301: rs (red) 61->60 [0.09ms]
[2026-03-16 14:11:01] MOVE #302: ly (blue) 91->87 [0.04ms]
[2026-03-16 14:11:01] MOVE #303: rs (red) 14->15 [0.05ms]
[2026-03-16 14:11:01] MOVE #304: ly (blue) 31->42 [0.06ms]
[2026-03-16 14:11:01] MOVE #305: rs (red) 38->61 [0.06ms]
[2026-03-16 14:11:02] MOVE #306: ly (blue) 42->43 [0.07ms]
[2026-03-16 14:11:02] MOVE #307: rs (red) 76->65 [0.06ms]
[2026-03-16 14:11:02] MOVE #308: ly (blue) 26->27 [0.06ms]
[2026-03-16 14:11:02] MOVE #309: rs (red) 65->75 [0.08ms]
[2026-03-16 14:11:03] MOVE #310: ly (blue) 77->89 [0.13ms]
[2026-03-16 14:11:03] MOVE #311: rs (red) 15->38 [0.11ms]
[2026-03-16 14:11:03] MOVE #312: ly (blue) 43->31 [0.05ms]
[2026-03-16 14:11:04] MOVE #313: rs (red) 38->15 [0.39ms]
[2026-03-16 14:11:04] MOVE #314: ly (blue) 31->30 [0.07ms]
[2026-03-16 14:11:04] MOVE #315: rs (red) 56->46 [0.05ms]
[2026-03-16 14:11:04] MOVE #316: ly (blue) 39->50 [0.07ms]
[2026-03-16 14:11:05] MOVE #317: rs (red) 15->38 [0.07ms]
[2026-03-16 14:11:05] MOVE #318: ly (blue) 8->4 [0.07ms]
[2026-03-16 14:11:05] MOVE #319: rs (red) 90->65 [0.10ms]
[2026-03-16 14:11:06] MOVE #320: ly (blue) 4->2 [0.07ms]
[2026-03-16 14:11:06] MOVE #321: rs (red) 60->69 [0.12ms]
[2026-03-16 14:11:06] MOVE #322: ly (blue) 41->29 [0.05ms]
[2026-03-16 14:11:06] MOVE #323: rs (red) 69->59 [0.07ms]
[2026-03-16 14:11:07] MOVE #324: ly (blue) 50->60 [0.05ms]
[2026-03-16 14:11:07] MOVE #325: rs (red) 59->58 [0.05ms]
[2026-03-16 14:11:07] MOVE #326: ly (blue) 1->3 [0.05ms]
[2026-03-16 14:11:07] MOVE #327: rs (red) 61->17 [0.05ms]
[2026-03-16 14:11:08] MOVE #328: ly (blue) 27->70 [0.05ms]
[2026-03-16 14:11:08] MOVE #329: rs (red) 110->109 [0.08ms]
[2026-03-16 14:11:08] MOVE #330: ly (blue) 60->81 [0.04ms]
[2026-03-16 14:11:08] MOVE #331: rs (red) 58->56 [0.04ms]
[2026-03-16 14:11:09] MOVE #332: ly (blue) 52->42 [0.06ms]
[2026-03-16 14:11:09] MOVE #333: rs (red) 109->96 [0.05ms]
